Regulator	Target	Relation	Relation counts
Virus	GeneticVariant	GeneticChange	0
Virus	MedicalProcedure	GeneticChange	0
Virus	PhosphoSite	GeneticChange	0
Virus	Hyperlink	GeneticChange	0
Virus	Mutation	GeneticChange	0
Virus	RNA	GeneticChange	0
Virus	Site	GeneticChange	0
Virus	Lysine	GeneticChange	0
Virus	MethSite	GeneticChange	0
ClinicalParameter	Protein	GeneticChange	0
ClinicalParameter	SmallMol	GeneticChange	0
ClinicalParameter	Complex	GeneticChange	0
ClinicalParameter	FunctionalClass	GeneticChange	0
ClinicalParameter	CellObject	GeneticChange	0
ClinicalParameter	Disease	GeneticChange	0
ClinicalParameter	Organ	GeneticChange	0
ClinicalParameter	Virus	GeneticChange	0
ClinicalParameter	ClinicalParameter	GeneticChange	0
ClinicalParameter	CellProcess	GeneticChange	0
ClinicalParameter	Organism	GeneticChange	0
ClinicalParameter	Tissue	GeneticChange	0
ClinicalParameter	Treatment	GeneticChange	0
ClinicalParameter	CellType	GeneticChange	0
ClinicalParameter	GeneticVariant	GeneticChange	0
ClinicalParameter	MedicalProcedure	GeneticChange	0
ClinicalParameter	PhosphoSite	GeneticChange	0
ClinicalParameter	Hyperlink	GeneticChange	0
ClinicalParameter	Mutation	GeneticChange	0
ClinicalParameter	RNA	GeneticChange	0
ClinicalParameter	Site	GeneticChange	0
ClinicalParameter	Lysine	GeneticChange	0
ClinicalParameter	MethSite	GeneticChange	0
CellProcess	Protein	GeneticChange	2
CellProcess	SmallMol	GeneticChange	0
CellProcess	Complex	GeneticChange	0
CellProcess	FunctionalClass	GeneticChange	0
CellProcess	CellObject	GeneticChange	0
CellProcess	Disease	GeneticChange	0
CellProcess	Organ	GeneticChange	0
CellProcess	Virus	GeneticChange	0
CellProcess	ClinicalParameter	GeneticChange	0
CellProcess	CellProcess	GeneticChange	0
CellProcess	Organism	GeneticChange	0
CellProcess	Tissue	GeneticChange	0
CellProcess	Treatment	GeneticChange	0
CellProcess	CellType	GeneticChange	0
CellProcess	GeneticVariant	GeneticChange	0
